index,dataset,code,trainsize,testsize,dimensions,length,minlength,maxlength,classes,variable,missing
0,ArticularyWordRecognition,AWR,275,300,9,144,144,144,25,0,0
1,AtrialFibrillation,AF,15,15,2,640,640,640,3,0,0
2,BasicMotions,BM,40,40,6,100,100,100,4,0,0
3,CharacterTrajectories,CT,1422,1436,3,180,60,180,20,1,0
4,Cricket,CR,108,72,6,1197,1197,1197,12,0,0
5,DuckDuckGeese,DDG,50,50,1345,270,270,270,5,0,0
6,EigenWorms,EW,128,131,6,17984,17984,17984,5,0,0
7,Epilepsy,EP,137,138,3,206,206,206,4,0,0
8,ERing,EC,30,270,4,65,65,65,6,0,0
9,EthanolConcentration,ER,261,263,3,1751,1751,1751,4,0,0
10,FaceDetection,FD,5890,3524,144,62,62,62,2,0,0
11,FingerMovements,FM,316,100,28,50,50,50,2,0,0
12,HandMovementDirection,HMD,160,74,10,400,400,400,4,0,0
13,Handwriting,HW,150,850,3,152,152,152,26,0,0
14,Heartbeat,HB,204,205,61,405,405,405,2,0,0
15,InsectWingbeat,IW,25000,25000,200,22,2,22,10,1,0
16,JapaneseVowels,JV,270,370,12,26,7,26,9,1,0
17,Libras,LIB,180,180,2,45,45,45,15,0,0
18,LSST,LSST,2459,2466,6,36,36,36,14,0,0
19,MotorImagery,MI,278,100,64,3000,3000,3000,2,0,0
20,NATOPS,NATO,180,180,24,51,51,51,6,0,0
21,PEMS-SF,PEMS,267,173,963,144,144,144,7,0,0
22,PenDigits,PD,7494,3498,2,8,8,8,10,0,0
23,PhonemeSpectra,PS,3315,3353,11,217,217,217,39,0,0
24,RacketSports,RS,151,152,6,30,30,30,4,0,0
25,SelfRegulationSCP1,SRS1,268,293,6,896,896,896,2,0,0
26,SelfRegulationSCP2,SRS2,200,180,7,1152,1152,1152,2,0,0
27,SpokenArabicDigits,SA,6599,2199,13,93,4,93,10,1,0
28,StandWalkJump,SWJ,12,15,4,2500,2500,2500,3,0,0
29,UWaveGestureLibrary,UW,120,320,3,315,315,315,8,0,0
