,dataset,train_size,test_size,length,unique_classes,C,C_ee,C_boss,C_tsf,C_rise,C_randf,C_rotf,C_st,boss_trasformations,trees,total_repeats,accuracy_mean,accuracy_std,train_time_mean,train_time_std,test_time_mean,test_time_std,boss_transform_time_mean,boss_transform_time_std,ee_time_mean,ee_time_std,randf_time_mean,randf_time_std,rotf_time_mean,rotf_time_std,st_time_mean,st_time_std,boss_time_mean,boss_time_std,tsf_time_mean,tsf_time_std,mean_leaf_nodes_mean,mean_leaf_nodes_std,mean_depth_mean,mean_depth_std,ee_count_mean,ee_count_std,ee_count_sum,randf_count_mean,randf_count_std,randf_count_sum,rotf_count_mean,rotf_count_std,rotf_count_sum,st_count_mean,st_count_std,st_count_sum,boss_count_mean,boss_count_std,boss_count_sum,tsf_count_mean,tsf_count_std,tsf_count_sum,rif_count_mean,rif_count_std,rif_count_sum,ee_win_mean,ee_win_std,ee_win_sum,st_win_mean,st_win_std,st_win_sum,boss_win_mean,boss_win_std,boss_win_sum,rif_win_mean,rif_win_std,rif_win_sum,rif_acf_count_mean,rif_acf_count_std,rif_acf_count_sum,rif_pacf_count_mean,rif_pacf_count_std,rif_pacf_count_sum,rif_arma_count_mean,rif_arma_count_std,rif_arma_count_sum,rif_ps_count_mean,rif_ps_count_std,rif_ps_count_sum,rif_dft_count_mean,rif_dft_count_std,rif_dft_count_sum,rif_acf_win_mean,rif_acf_win_std,rif_acf_win_sum,rif_pacf_win_mean,rif_pacf_win_std,rif_pacf_win_sum,rif_arma_win_mean,rif_arma_win_std,rif_arma_win_sum,rif_ps_win_mean,rif_ps_win_std,rif_ps_win_sum,euc_count_mean,euc_count_std,euc_count_sum,dtw_count_mean,dtw_count_std,dtw_count_sum,dtwr_count_mean,dtwr_count_std,dtwr_count_sum,ddtw_count_mean,ddtw_count_std,ddtw_count_sum,ddtwr_count_mean,ddtwr_count_std,ddtwr_count_sum,wdtw_count_mean,wdtw_count_std,wdtw_count_sum,wddtw_count_mean,wddtw_count_std,wddtw_count_sum,lcss_count_mean,lcss_count_std,lcss_count_sum,twe_count_mean,twe_count_std,twe_count_sum,erp_count_mean,erp_count_std,erp_count_sum,msm_count_mean,msm_count_std,msm_count_sum,euc_win_mean,euc_win_std,euc_win_sum,dtw_win_mean,dtw_win_std,dtw_win_sum,dtwr_win_mean,dtwr_win_std,dtwr_win_sum,ddtw_win_mean,ddtw_win_std,ddtw_win_sum,ddtwr_win_mean,ddtwr_win_std,ddtwr_win_sum,wdtw_win_mean,wdtw_win_std,wdtw_win_sum,wddtw_win_mean,wddtw_win_std,wddtw_win_sum,lcss_win_mean,lcss_win_std,lcss_win_sum,twe_win_mean,twe_win_std,twe_win_sum,erp_win_mean,erp_win_std,erp_win_sum,msm_win_mean,msm_win_std,msm_win_sum,selected_repeats
0,Adiac,390,391,176,37,205,5,100,0,100,0,0,0,1000,100,5,0.7933503836317135,0.004202474865768546,86700517136.2,16244599698.931343,2532882568.4,2451110487.181444,1812783641140,322420318116.8487,1116426769834.2,219549504408.88162,0,0.0,0,0.0,0,0.0,270695622702.4,43425764192.3762,0,0.0,158.916,0.6237226947931149,3.1719999999999997,0.052153619241621214,23642,133.91228472399362,118210,0,0.0,0,0,0.0,0,0,0.0,0,472840,2678.245694479881,2364200,0,0.0,0,37827.2,214.25965555839133,189136,226.2,15.674820573135761,1131,0,0.0,0,4282.4,37.05806255054368,21412,219.8,15.238110119040357,1099,9456.8,53.56491388959783,47284,9456.8,53.56491388959783,47284,9456.8,53.56491388959783,47284,9456.8,53.56491388959783,47284,0,0.0,0,51.2,9.602083107326242,256,56.2,10.10940156488009,281,50.0,5.385164807134504,250,62.4,7.797435475847172,312,720457.4,109950.14204538346,3602287,707278.0,31148.687283736384,3536390,700606.6,133470.5115832707,3503033,737721.6,98779.05292520272,3688608,695072.6,43497.054294515154,3475363,619988.6,57622.174870443756,3099943,709048.0,63384.84467126191,3545240,734659.2,86930.59100627352,3673296,705165.4,63989.963910757135,3525827,666270.6,67185.62360579828,3331353,619342.2,106273.5816005088,3096711,12.2,3.1144823004794877,61,20.6,6.6932802122726045,103,18.8,4.32434966208793,94,28.4,4.449719092257398,142,27.0,3.0,135,19.4,1.9493588689617927,97,36.0,8.803408430829505,180,6.8,2.4899799195977463,34,18.0,3.5355339059327378,90,19.4,5.594640292279746,97,19.6,3.911521443121589,98,5
1,ArrowHead,36,175,251,3,205,5,100,0,100,0,0,0,1000,100,5,0.830857142857143,0.026061152573694586,4538943972.4,1114076192.4153733,431781579.0,194668758.14097613,249913628060,60570341658.594124,30129765933.8,8179317783.558445,0,0.0,0,0.0,0,0.0,6245815700.0,1855185777.0321994,0,0.0,6.7219999999999995,0.08348652585896715,2.7020000000000004,0.03563705936241076,2035,29.154759474226484,10175,0,0.0,0,0,0.0,0,0,0.0,0,40700,583.0951894845294,203500,0,0.0,0,3256.0,46.64761515876244,16280,19.8,5.630275304103699,99,0,0.0,0,333.0,4.358898943540677,1665,54.2,3.9623225512317894,271,814.0,11.66190378969061,4070,814.0,11.66190378969061,4070,814.0,11.66190378969061,4070,814.0,11.66190378969061,4070,0,0.0,0,10.8,3.8987177379235853,54,14.2,2.7748873851023217,71,8.8,2.04939015319192,44,20.4,5.029910535983717,102,7802.6,558.9501766705151,39013,7788.8,853.1949952970892,38944,8020.6,509.5942503600292,40103,8798.0,1231.7172971100147,43990,8867.0,944.33918694503,44335,7573.6,838.4562004064375,37868,8561.4,1127.9843970552074,42807,7700.2,722.9226791296564,38501,7745.4,668.098271214647,38727,8346.6,901.2015867717943,41733,8027.4,585.2489214001168,40137,1.4,1.140175425099138,7,0.2,0.447213595499958,1,1.2,0.8366600265340756,6,5.0,2.5495097567963922,25,3.2,0.8366600265340756,16,1.4,0.8944271909999159,7,3.2,1.7888543819998317,16,0.0,0.0,0,1.2,1.3038404810405297,6,1.6,1.140175425099138,8,1.4,1.5165750888103102,7,5
2,Beef,30,30,470,5,205,5,100,0,100,0,0,0,1000,100,5,0.72,0.01825741858350552,10836431936.6,2149786780.7068977,457888527.8,107671995.51171777,407073324400,92590867266.86655,118488225600.6,28891842031.434975,0,0.0,0,0.0,0,0.0,11934788337.2,2508241154.650698,0,0.0,14.634,0.045607017003965425,2.998,0.017888543819998274,3107,41.6233107765348,15535,0,0.0,0,0,0.0,0,0,0.0,0,62140,832.4662155306968,310700,0,0.0,0,4971.2,66.59729724245581,24856,31.6,6.348228099241551,158,0,0.0,0,548.2,6.496152707564695,2741,41.6,9.289779329994873,208,1242.8,16.649324310613952,6214,1242.8,16.649324310613952,6214,1242.8,16.649324310613952,6214,1242.8,16.649324310613952,6214,0,0.0,0,6.0,3.6742346141747673,30,11.8,3.63318042491699,59,11.2,1.4832396974191326,56,12.6,2.701851217221259,63,10056.4,1018.9032338745424,50282,9665.2,297.83502144643774,48326,9297.8,900.1481544723624,46489,9329.6,1459.5258819219341,46648,8793.0,1392.5695673825421,43965,9023.4,431.47919996217655,45117,9529.0,1511.794959642345,47645,9690.8,1014.3378135512845,48454,9472.0,1141.614208040527,47360,9560.6,1592.0406087785575,47803,9316.0,1113.7892529558721,46580,3.4,2.073644135332772,17,3.2,1.6431676725154984,16,1.4,0.5477225575051662,7,3.8,2.9495762407505253,19,2.6,1.3416407864998738,13,2.6,1.1401754250991378,13,3.6,1.140175425099138,18,3.6,1.6733200530681511,18,2.4,1.51657508881031,12,2.8,1.3038404810405297,14,2.2,1.6431676725154982,11,5
3,BeetleFly,20,20,512,2,205,5,100,0,100,0,0,0,1000,100,5,0.9400000000000001,0.04183300132670374,5379061819.0,1366937407.5572977,81776310.8,29351451.35819852,285562725200,72636700543.1164,39616196947.2,10723094777.544458,0,0.0,0,0.0,0,0.0,3547082828.4,913076474.1762083,0,0.0,2.9840000000000004,0.06348228099241537,1.9419999999999997,0.05718391382198309,992,31.741140496207763,4960,0,0.0,0,0,0.0,0,0,0.0,0,19840,634.8228099241553,99200,0,0.0,0,1587.2,50.785824793932406,7936,3.4,2.6076809620810595,17,0,0.0,0,124.0,6.819090848492928,620,71.0,9.273618495495704,355,396.8,12.696456198483101,1984,396.8,12.696456198483101,1984,396.8,12.696456198483101,1984,396.8,12.696456198483101,1984,0,0.0,0,21.0,5.431390245600108,105,14.6,4.449719092257398,73,10.8,3.1144823004794873,54,24.6,5.8991524815010505,123,2585.8,349.86668889735705,12929,2618.2,31.52300747073483,13091,2497.2,135.90695346449345,12486,2352.6,352.52418356759586,11763,2366.8,510.38289548142194,11834,2583.8,294.95965825854904,12919,2496.4,133.10071374714707,12482,2682.6,411.17307791245287,13413,2599.2,251.27415306791906,12996,2514.8,454.0712499156934,12574,2523.6,154.19241226467665,12618,0.0,0.0,0,0.4,0.5477225575051662,2,0.0,0.0,0,0.6,0.894427190999916,3,0.0,0.0,0,0.2,0.4472135954999579,1,0.4,0.5477225575051661,2,0.6,0.8944271909999159,3,0.8,1.3038404810405297,4,0.4,0.5477225575051661,2,0.0,0.0,0,5
4,BirdChicken,20,20,512,2,205,5,100,0,100,0,0,0,1000,100,5,0.93,0.027386127875258237,5247989212.0,1235839895.0796304,107028693.2,26822792.771340854,282885922000,63822723927.10094,38905527770.4,11671830710.081339,0,0.0,0,0.0,0,0.0,2981415681.4,750324510.4776253,0,0.0,2.9299999999999997,0.044721359549995995,1.884,0.04722287581247027,965,22.36067977499791,4825,0,0.0,0,0,0.0,0,0,0.0,0,19300,447.2135954999583,96500,0,0.0,0,1544.0,35.777087639996616,7720,9.8,3.420526275297414,49,0,0.0,0,152.2,2.1679483388678777,761,31.0,3.1622776601683795,155,386.0,8.944271909999154,1930,386.0,8.944271909999154,1930,386.0,8.944271909999154,1930,386.0,8.944271909999154,1930,0,0.0,0,6.6,3.1304951684997055,33,8.4,2.3021728866442674,42,5.4,2.7928480087537886,27,10.6,3.0495901363953815,53,2367.8,391.13066870292846,11839,2345.6,324.42071450510065,11728,2441.2,234.24388999502204,12206,2718.6,284.8478541256718,13593,2580.0,347.544241788006,12900,2615.4,210.60816698314432,13077,2447.0,258.21696303690044,12235,2632.4,403.4548301854868,13162,2717.2,309.19605430858917,13586,2464.8,278.4999102333787,12324,2446.0,339.702811292459,12230,0.0,0.0,0,0.2,0.4472135954999579,1,0.2,0.4472135954999579,1,5.4,2.5099800796022267,27,3.4,2.8809720581775866,17,0.0,0.0,0,0.2,0.4472135954999579,1,0.0,0.0,0,0.2,0.447213595499958,1,0.0,0.0,0,0.2,0.4472135954999579,1,5
5,CBF,30,900,128,3,205,5,100,0,100,0,0,0,1000,100,5,0.998,0.0014487116456005234,1534380814.4,234988093.96419194,979689796.8,228103731.91744712,100071327820,11766327539.737284,6521100832.6,1728304207.8281362,0,0.0,0,0.0,0,0.0,2637528738.8,715396264.7934735,0,0.0,3.726,0.053197744313081496,1.6039999999999999,0.05029910535983706,849,26.31539473388153,4245,0,0.0,0,0,0.0,0,0,0.0,0,16980,526.3078946776304,84900,0,0.0,0,1358.4,42.10463157421045,6792,17.4,4.505552130427524,87,0,0.0,0,130.8,4.0865633483405075,654,21.6,2.8809720581775866,108,339.6,10.526157893552613,1698,339.6,10.526157893552613,1698,339.6,10.526157893552613,1698,339.6,10.526157893552613,1698,0,0.0,0,5.0,1.4142135623730951,25,6.8,1.0954451150103324,34,3.2,1.7888543819998317,16,6.6,2.0736441353327724,33,4962.6,551.8154582829301,24813,22421.8,12227.573316075433,112109,6296.8,1594.0552688034377,31484,4729.6,1244.399574091859,23648,5396.8,701.3933988853901,26984,4651.4,861.3662403414705,23257,5071.4,547.861113787062,25357,6356.2,1863.8187143603855,31781,7872.8,2404.00919299407,39364,4397.8,826.1959210744144,21989,8782.8,3410.199876840066,43914,0.6,0.5477225575051662,3,7.6,4.159326868617084,38,1.2,1.0954451150103321,6,0.8,1.3038404810405297,4,0.6,0.5477225575051661,3,0.4,0.5477225575051662,2,0.4,0.5477225575051662,2,1.6,1.51657508881031,8,1.8,0.8366600265340756,9,0.2,0.447213595499958,1,2.2,1.4832396974191326,11,5
6,Car,60,60,577,4,205,5,100,0,100,0,0,0,1000,100,5,0.8466666666666667,0.01825741858350561,26305692131.0,5841245038.799097,921491637.2,201202457.53229704,908473627120,179770383985.83542,303211772676.2,65310588613.54196,0,0.0,0,0.0,0,0.0,20515407665.6,4561607680.917663,0,0.0,13.290000000000001,0.1337908816025969,3.0439999999999996,0.03847076812334256,3403,36.15936946352907,17015,0,0.0,0,0,0.0,0,0,0.0,0,68060,723.1873892705811,340300,0,0.0,0,5444.8,57.85499114164655,27224,29.0,3.7416573867739418,145,0,0.0,0,598.6,8.01872807869178,2993,53.0,6.59545297913646,265,1361.2,14.463747785411638,6806,1361.2,14.463747785411638,6806,1361.2,14.463747785411638,6806,1361.2,14.463747785411638,6806,0,0.0,0,9.4,3.209361307176243,47,16.0,2.9154759474226504,80,11.2,2.16794833886788,56,16.4,6.87749954561976,82,17913.8,1096.3084419997865,89569,16604.8,1637.3379919857719,83024,18473.6,997.6228245183646,92368,17588.0,2824.1170301529646,87940,17278.0,2117.3041822090654,86390,19198.4,1198.561554531097,95992,19394.4,921.0913635465268,96972,17645.6,1077.475893001788,88228,17745.4,692.0869165068794,88727,19485.4,1550.2758786745023,97427,19042.0,1818.0836064383839,95210,2.2,1.7888543819998317,11,1.0,0.7071067811865476,5,2.0,1.5811388300841898,10,2.6,1.140175425099138,13,2.4,1.6733200530681511,12,2.0,1.0,10,3.4,2.5099800796022267,17,1.8,1.3038404810405297,9,1.8,1.9235384061671343,9,4.8,2.8635642126552705,24,5.0,1.0,25,5
7,ChlorineConcentration,467,3840,166,3,205,5,100,0,100,0,0,0,1000,100,5,0.7121875000000001,0.0035295826324125033,102120424858.2,14414033327.448435,7599090890.6,1847382064.8871403,2214983862900,402759127675.44696,1165661883938.4,171728083568.90894,0,0.0,0,0.0,0,0.0,352046748655.0,56181140710.481865,0,0.0,116.88200000000002,0.7755127336156388,13.568000000000001,0.39232639472765535,44025,288.79058156387316,220125,0,0.0,0,0,0.0,0,0,0.0,0,880500,5775.811631277458,4402500,0,0.0,0,70440.0,462.0649305021966,352200,197.0,15.732132722552274,985,0,0.0,0,4812.4,46.29038777111297,24062,3795.6,76.80039062400661,18978,17610.0,115.51623262554915,88050,17610.0,115.51623262554915,88050,17610.0,115.51623262554915,88050,17610.0,115.51623262554915,88050,0,0.0,0,928.4,52.495714110772894,4642,951.8,40.68414924758782,4759,777.8,22.286767374386084,3889,1137.6,28.814926687395896,5688,508428.2,26976.391858438,2542141,503675.2,21029.73206438922,2518376,508190.8,21270.03658200898,2540954,509965.8,21152.876653070143,2549829,518508.6,24019.646121456477,2592543,520081.2,14525.022984491283,2600406,520854.4,11493.314308762301,2604272,532698.8,11481.567737029654,2663494,530938.8,20800.330639198994,2654694,518332.6,24643.286607106606,2591663,510393.8,22423.743926918178,2551969,11.2,4.207136793592526,56,17.6,6.107372593840988,88,17.2,4.54972526643093,86,23.8,3.96232255123179,119,16.2,4.54972526643093,81,17.0,6.519202405202649,85,19.2,3.5637059362410923,96,24.4,4.9295030175464944,122,17.6,3.361547262794322,88,15.2,2.280350850198276,76,17.6,3.361547262794322,88,5
8,CinCECGtorso,40,1380,1639,4,205,5,100,0,100,0,0,0,1000,100,5,0.9778260869565217,0.006613683599480923,113694436239.6,18183604100.47517,251442959211.4,55754747387.8717,1708366531700,216088379231.01172,1721346720750.8,295169647343.5207,0,0.0,0,0.0,0,0.0,25195875161.4,3633634010.9182277,0,0.0,10.916,0.2008233054204617,2.9680000000000004,0.013038404810405224,2872,66.76451153120196,14360,0,0.0,0,0,0.0,0,0,0.0,0,57440,1335.2902306240392,287200,0,0.0,0,4595.2,106.82321844992313,22976,86.2,7.293833011524189,431,0,0.0,0,387.2,18.47159982243011,1936,101.0,6.819090848492927,505,1148.8,26.705804612480783,5744,1148.8,26.705804612480783,5744,1148.8,26.705804612480783,5744,1148.8,26.705804612480783,5744,0,0.0,0,24.4,2.5099800796022262,122,15.6,2.073644135332772,78,10.8,1.9235384061671343,54,50.2,5.495452665613635,251,16161.8,4960.164079947356,80809,12369.2,1070.243523689819,61846,47851.4,8730.800610482409,239257,22243.6,6977.742636411865,111218,99401.0,11188.510110823514,497005,25187.4,11745.208205902525,125937,32249.2,10169.823041724963,161246,28134.0,8508.699930071574,140670,22590.6,8923.481624343718,112953,54253.8,18815.123802409595,271269,31153.6,9219.886132702508,155768,2.8,1.788854381999832,14,0.8,0.8366600265340756,4,9.8,2.16794833886788,49,4.4,1.6733200530681511,22,24.6,2.792848008753788,123,5.2,3.1937438845342623,26,7.6,2.0736441353327724,38,6.6,3.5777087639996634,33,6.2,2.4899799195977463,31,11.0,4.0,55,7.2,4.08656334834051,36,5
9,Coffee,28,28,286,2,205,5,100,0,100,0,0,0,1000,100,5,0.9857142857142858,0.01956151991089872,2839502000.4,320166119.81064427,57128508.8,23653611.401068795,202443583660,23525602268.91641,10918150498.8,593695673.5937109,0,0.0,0,0.0,0,0.0,2224929431.8,302417506.78988165,0,0.0,2.0,0.0,1.0,0.0,500,0.0,2500,0,0.0,0,0,0.0,0,0,0.0,0,10000,0.0,50000,0,0.0,0,800.0,0.0,4000,4.8,2.949576240750525,24,0,0.0,0,89.0,1.58113883008419,445,6.2,2.16794833886788,31,200.0,0.0,1000,200.0,0.0,1000,200.0,0.0,1000,200.0,0.0,1000,0,0.0,0,2.8,1.3038404810405297,14,0.4,0.5477225575051661,2,0.0,0.0,0,3.0,1.0,15,2259.0,138.44674066224889,11295,2768.4,258.54651419038703,13842,2600.6,88.2060088656096,13003,2460.4,382.79472305662733,12302,2279.6,284.440327661181,11398,2757.2,100.362841729397,13786,2397.4,308.89043364921486,11987,2480.4,120.85859506050863,12402,2343.2,455.06999461621285,11716,2311.4,256.98210054398737,11557,2365.6,152.5067211633638,11828,0.4,0.5477225575051661,2,0.6,0.5477225575051661,3,1.2,2.1679483388678804,6,0.4,0.5477225575051661,2,0.2,0.447213595499958,1,0.4,0.5477225575051661,2,0.6,0.5477225575051661,3,0.0,0.0,0,0.2,0.4472135954999579,1,0.2,0.4472135954999579,1,0.6,0.8944271909999159,3,5
