,index,dataset,train_size,test_size,length,unique_classes,C,C_ee,C_boss,C_tsf,C_rise,C_randf,C_rotf,C_st,boss_trasformations,trees,total_repeats,accuracy_mean,accuracy_std,train_time_mean,train_time_std,test_time_mean,test_time_std,boss_transform_time_mean,boss_transform_time_std,ee_time_mean,ee_time_std,randf_time_mean,randf_time_std,rotf_time_mean,rotf_time_std,st_time_mean,st_time_std,boss_time_mean,boss_time_std,tsf_time_mean,tsf_time_std,mean_leaf_nodes_mean,mean_leaf_nodes_std,mean_depth_mean,mean_depth_std,ee_count_mean,ee_count_std,ee_count_sum,randf_count_mean,randf_count_std,randf_count_sum,rotf_count_mean,rotf_count_std,rotf_count_sum,st_count_mean,st_count_std,st_count_sum,boss_count_mean,boss_count_std,boss_count_sum,tsf_count_mean,tsf_count_std,tsf_count_sum,rif_count_mean,rif_count_std,rif_count_sum,ee_win_mean,ee_win_std,ee_win_sum,st_win_mean,st_win_std,st_win_sum,boss_win_mean,boss_win_std,boss_win_sum,rif_win_mean,rif_win_std,rif_win_sum,rif_acf_count_mean,rif_acf_count_std,rif_acf_count_sum,rif_pacf_count_mean,rif_pacf_count_std,rif_pacf_count_sum,rif_arma_count_mean,rif_arma_count_std,rif_arma_count_sum,rif_ps_count_mean,rif_ps_count_std,rif_ps_count_sum,rif_dft_count_mean,rif_dft_count_std,rif_dft_count_sum,rif_acf_win_mean,rif_acf_win_std,rif_acf_win_sum,rif_pacf_win_mean,rif_pacf_win_std,rif_pacf_win_sum,rif_arma_win_mean,rif_arma_win_std,rif_arma_win_sum,rif_ps_win_mean,rif_ps_win_std,rif_ps_win_sum,euc_count_mean,euc_count_std,euc_count_sum,dtw_count_mean,dtw_count_std,dtw_count_sum,dtwr_count_mean,dtwr_count_std,dtwr_count_sum,ddtw_count_mean,ddtw_count_std,ddtw_count_sum,ddtwr_count_mean,ddtwr_count_std,ddtwr_count_sum,wdtw_count_mean,wdtw_count_std,wdtw_count_sum,wddtw_count_mean,wddtw_count_std,wddtw_count_sum,lcss_count_mean,lcss_count_std,lcss_count_sum,twe_count_mean,twe_count_std,twe_count_sum,erp_count_mean,erp_count_std,erp_count_sum,msm_count_mean,msm_count_std,msm_count_sum,euc_win_mean,euc_win_std,euc_win_sum,dtw_win_mean,dtw_win_std,dtw_win_sum,dtwr_win_mean,dtwr_win_std,dtwr_win_sum,ddtw_win_mean,ddtw_win_std,ddtw_win_sum,ddtwr_win_mean,ddtwr_win_std,ddtwr_win_sum,wdtw_win_mean,wdtw_win_std,wdtw_win_sum,wddtw_win_mean,wddtw_win_std,wddtw_win_sum,lcss_win_mean,lcss_win_std,lcss_win_sum,twe_win_mean,twe_win_std,twe_win_sum,erp_win_mean,erp_win_std,erp_win_sum,msm_win_mean,msm_win_std,msm_win_sum,selected_repeats
0,0,Adiac,390,391,176,37,205,5,100,0,100,0,0,0,1000,500,11,0.7979539641943734,0.005718843932224519,164587791237.45456,18932714662.61408,3502967312.6363635,1064535137.1772431,6008892513727.272,129710978936.20103,3647849044700.091,567983719511.9268,0,0.0,0,0.0,0,0.0,1030243811234.091,162102925548.47293,0,0.0,159.05854545454545,0.4807935864040466,3.1841818181818184,0.018076604669119756,118714.54545454546,552.8266208561893,1305860,0,0.0,0,0,0.0,0,0,0.0,0,2374290.909090909,11056.532417123786,26117200,0,0.0,0,189943.27272727274,884.5225933699015,2089376,1105.5454545454545,37.84273678359859,12161,0,0.0,0,21492.909090909092,106.13713256486098,236422,1144.4545454545455,18.9597660131324,12589,47485.818181818184,221.13064834247538,522344,47485.818181818184,221.13064834247538,522344,47485.818181818184,221.13064834247538,522344,47485.818181818184,221.13064834247538,522344,0,0.0,0,272.3636363636364,18.150882773423042,2996,293.54545454545456,18.99665042244888,3229,250.8181818181818,13.666149288063407,2759,327.72727272727275,17.71491410699419,3605,3428940.3636363638,147141.9280479039,37718344,3490627.4545454546,240680.06395477115,38396902,3463249.090909091,280656.9461860705,38095740,3426428.090909091,137773.05892550587,37690709,3484606.3636363638,76781.80230532846,38330670,3481777.090909091,169228.75787197315,38299548,3514127.3636363638,177627.1044189331,38655401,3431897.3636363638,179701.37249407565,37750871,3458131.0,183013.19243049115,38039441,3432182.727272727,294151.0198116236,37754010,3478851.727272727,162424.57176492165,38267369,82.72727272727273,7.93839919745674,910,92.72727272727273,10.189120757856479,1020,95.0,11.02723900167218,1045,124.63636363636364,6.845038017027037,1371,122.81818181818181,10.087796407721378,1351,101.72727272727273,7.253839108925826,1119,159.36363636363637,15.692499656031393,1753,53.18181818181818,8.45952932281911,585,91.54545454545455,7.954415583355407,1007,96.45454545454545,5.317210478505367,1061,85.36363636363636,6.667424199385057,939,10
1,1,ArrowHead,36,175,251,3,205,5,100,0,100,0,0,0,1000,500,11,0.8327272727272728,0.012800742093515958,6262049533.0,859324820.3402232,863246793.9090909,142049235.2415557,812369581318.1818,18535686265.60383,94893327104.09091,16228170989.230507,0,0.0,0,0.0,0,0.0,22288490115.090908,3829701600.0111756,0,0.0,6.708909090909091,0.05396564563767327,2.7081818181818185,0.02549438440840726,10200.90909090909,65.64366617649348,112210,0,0.0,0,0,0.0,0,0,0.0,0,204018.18181818182,1312.873323529868,2244200,0,0.0,0,16321.454545454546,105.02986588238987,179536,110.27272727272727,12.092071030976532,1213,0,0.0,0,1631.8181818181818,14.112534724975392,17950,298.09090909090907,12.684278027972626,3279,4080.3636363636365,26.257466470597468,44884,4080.3636363636365,26.257466470597468,44884,4080.3636363636365,26.257466470597468,44884,4080.3636363636365,26.257466470597468,44884,0,0.0,0,57.81818181818182,6.431456783935995,636,82.81818181818181,6.063302430494158,911,48.81818181818182,4.750119615718784,537,108.63636363636364,10.698343117256309,1195,40473.90909090909,2134.8465263126272,445213,38979.0,1752.3174369959345,428769,39154.36363636364,2220.5167089093165,430698,44902.181818181816,2278.6379623881385,493924,46221.545454545456,3569.131249019468,508437,40502.181818181816,2708.7365622438006,445524,43125.27272727273,1741.2105611274633,474378,38897.27272727273,2190.456668866522,427870,39486.36363636364,2053.960431591965,434350,40011.36363636364,1949.9963729570004,440125,40373.90909090909,1968.227347363381,444113,9.545454545454545,3.387141460395074,105,3.0,0.7745966692414834,33,4.7272727272727275,1.9540168418367887,52,21.545454545454547,2.8058380695840723,237,21.454545454545453,7.298816840606927,236,9.181818181818182,4.51260859854213,101,14.454545454545455,3.8823610435825353,159,4.909090909090909,1.868397465987655,54,5.363636363636363,2.6934263410283665,59,9.090909090909092,3.2389672877182765,100,7.0,4.33589667773576,77,10
2,2,Beef,30,30,470,5,205,5,100,0,100,0,0,0,1000,500,11,0.7060606060606062,0.038924947208076176,17724839732.81818,2313035734.8204956,708854870.0,128746166.01382163,1267245177727.2727,17959954560.552666,383646335980.9091,61514463206.24879,0,0.0,0,0.0,0,0.0,45068074451.72727,6734807624.439595,0,0.0,14.66709090909091,0.05940615211483525,3.0112727272727273,0.015550504230351602,15762.727272727272,88.41277159900697,173390,0,0.0,0,0,0.0,0,0,0.0,0,315254.54545454547,1768.2554319801413,3467800,0,0.0,0,25220.363636363636,141.46043455841172,277424,179.27272727272728,12.083798319161978,1972,0,0.0,0,2724.2727272727275,16.05048852272664,29967,249.0,18.39565166010707,2739,6305.090909090909,35.36510863960293,69356,6305.090909090909,35.36510863960293,69356,6305.090909090909,35.36510863960293,69356,6305.090909090909,35.36510863960293,69356,0,0.0,0,45.09090909090909,8.117321546600769,496,64.81818181818181,7.756522182243563,713,68.54545454545455,6.81709082180421,754,70.54545454545455,7.979519238195198,776,47379.181818181816,2426.100732376207,521171,47435.09090909091,1647.0385820948738,521786,46639.36363636364,2224.737839509513,513033,47479.454545454544,2153.9666368649428,522274,46846.454545454544,2170.0877569184318,515311,49511.72727272727,1429.703262282708,544629,49473.181818181816,1911.279928120516,544205,45967.09090909091,1649.7219435132374,505638,46692.36363636364,2158.3846864137663,513616,47335.454545454544,2659.515383058965,520690,47027.63636363636,2711.052794496163,517304,14.727272727272727,1.7372915179041823,162,16.90909090909091,3.562430222602134,186,15.0,2.569046515733026,165,14.636363636363637,3.2641301221834667,161,17.818181818181817,4.445631154699675,196,21.454545454545453,4.4802597327306,236,23.181818181818183,3.219260219931959,255,17.818181818181817,5.192652151226419,196,8.272727272727273,3.977207791677702,91,17.545454545454547,6.578200914591107,193,11.909090909090908,3.4483197489370228,131,10
3,3,BeetleFly,20,20,512,2,205,5,100,0,100,0,0,0,1000,500,11,0.9136363636363637,0.023354968324845654,7511107345.363636,786490729.7587385,183069385.27272728,27326267.457332447,945864578909.091,11199831883.641726,129398332241.90909,19635794848.331146,0,0.0,0,0.0,0,0.0,13313796018.0,2224189972.141952,0,0.0,3.044363636363637,0.03409185453234462,1.9879999999999995,0.02887213189218973,5110.909090909091,85.22963633086147,56220,0,0.0,0,0,0.0,0,0,0.0,0,102218.18181818182,1704.5927266172314,1124400,0,0.0,0,8177.454545454545,136.36741812937845,89952,16.545454545454547,3.045115313535315,182,0,0.0,0,652.1818181818181,19.528533902053063,7174,353.45454545454544,14.787586932042942,3888,2044.3636363636363,34.09185453234461,22488,2044.3636363636363,34.09185453234461,22488,2044.3636363636363,34.09185453234461,22488,2044.3636363636363,34.09185453234461,22488,0,0.0,0,100.36363636363636,10.356377042892243,1104,81.45454545454545,11.639275203926026,896,58.45454545454545,5.317210478505366,643,113.18181818181819,8.047585747516852,1245,12849.727272727272,724.8223355980541,141347,12542.90909090909,447.7569551766795,137972,12802.545454545454,721.6801734336843,140828,12686.363636363636,452.9305184522838,139550,13065.09090909091,889.0445944434344,143716,12990.09090909091,655.7221140918546,142891,12677.90909090909,584.3398761928634,139457,13010.636363636364,946.1172520070937,143117,12761.727272727272,372.47794321518984,140379,12709.0,544.1124883698224,139799,13072.90909090909,554.0574797880548,143802,0.6363636363636364,0.6741998624632421,7,1.6363636363636365,1.2862913567871996,18,1.4545454545454546,1.694912172570388,16,1.1818181818181819,0.7507571935295484,13,0.45454545454545453,0.5222329678670935,5,0.2727272727272727,0.6466697906828632,3,1.5454545454545454,1.6348477827391983,17,3.272727272727273,1.1037127426019047,36,3.4545454545454546,1.8635254955935732,38,1.0909090909090908,1.1361818036340359,12,1.5454545454545454,1.0357254813546264,17,10
4,4,BirdChicken,20,20,512,2,205,5,100,0,100,0,0,0,1000,500,11,0.9090909090909093,0.020225995873897264,7082329255.545455,865727219.244771,201233173.1818182,30646952.66743789,898529477272.7273,10892752671.623842,119802712780.27272,21488840652.012722,0,0.0,0,0.0,0,0.0,10605259163.90909,1577031402.15241,0,0.0,2.8538181818181814,0.05470250118928412,1.8161818181818183,0.04681413927825263,4634.545454545455,136.75625297321042,50980,0,0.0,0,0,0.0,0,0,0.0,0,92690.90909090909,2735.125059464209,1019600,0,0.0,0,7415.272727272727,218.8100047571367,81568,40.18181818181818,5.418822414845899,442,0,0.0,0,729.3636363636364,17.522971935563493,8023,157.36363636363637,12.027241805773485,1731,1853.8181818181818,54.70250118928418,20392,1853.8181818181818,54.70250118928418,20392,1853.8181818181818,54.70250118928418,20392,1853.8181818181818,54.70250118928418,20392,0,0.0,0,21.636363636363637,5.182137151267367,238,46.36363636363637,6.500349640945895,510,29.454545454545453,3.110100846070313,324,59.90909090909091,8.40778859694445,659,12159.09090909091,863.6535711204413,133750,12238.636363636364,555.711664935562,134625,12106.90909090909,680.1066761244817,133176,12820.727272727272,620.8532984383819,141028,12889.09090909091,869.1041887536221,141780,12059.454545454546,572.5468301608811,132654,12288.454545454546,586.5584989813657,135173,12332.545454545454,431.7317138307918,135658,11856.454545454546,665.6714450292071,130421,12102.545454545454,770.7447519946357,133128,12437.0,429.75574458056974,136807,0.18181818181818182,0.40451991747794525,2,0.36363636363636365,0.504524979109513,4,0.18181818181818182,0.40451991747794525,2,19.363636363636363,3.3248376583745345,213,14.818181818181818,4.020402512639296,163,0.2727272727272727,0.4670993664969138,3,1.0909090909090908,1.044465935734187,12,0.36363636363636365,0.6741998624632421,4,2.272727272727273,1.4206272622267315,25,0.2727272727272727,0.4670993664969138,3,1.0,0.9999999999999999,11,10
5,5,CBF,30,900,128,3,205,5,100,0,100,0,0,0,1000,500,11,0.9978787878787877,0.0005992887666339125,2052474963.7272727,198761100.96564454,1800641265.7272727,461515136.3636048,357539907409.0909,3553101653.1331964,22101137266.090908,3699716035.05481,0,0.0,0,0.0,0,0.0,9411808830.90909,1718144576.8831892,0,0.0,3.7441818181818176,0.07880839826036078,1.6287272727272728,0.0502495590211316,4273.636363636364,174.87268095804598,47010,0,0.0,0,0,0.0,0,0,0.0,0,85472.72727272728,3497.4536191609195,940200,0,0.0,0,6837.818181818182,279.7962895328738,75216,88.0909090909091,18.88096684735475,969,0,0.0,0,659.7272727272727,17.793768061267446,7257,106.9090909090909,14.08868017562004,1176,1709.4545454545455,69.94907238321845,18804,1709.4545454545455,69.94907238321845,18804,1709.4545454545455,69.94907238321845,18804,1709.4545454545455,69.94907238321845,18804,0,0.0,0,26.454545454545453,5.2414432432992415,291,28.272727272727273,6.051295879246181,311,19.454545454545453,4.058660773300384,214,32.72727272727273,4.981785003207366,360,23680.090909090908,1610.6035176011167,260481,109944.72727272728,24797.250009188152,1209392,29274.090909090908,4209.555806841036,322015,24965.272727272728,1888.2346830258732,274618,25406.909090909092,2506.343210916871,279476,26546.090909090908,3195.520973317041,292007,25669.636363636364,2344.6510304404474,282366,30394.727272727272,6605.40954204823,334342,37315.818181818184,5627.263470252337,410474,25715.18181818182,1513.2533045185671,282867,44003.545454545456,9127.999018006481,484039,2.272727272727273,1.6787441193290351,25,37.45454545454545,9.595453468842798,412,5.2727272727272725,2.195035721390843,58,3.727272727272727,2.195035721390843,41,3.909090909090909,1.9211738835693897,43,3.909090909090909,2.0714509627092528,43,4.0,1.7888543819998317,44,5.636363636363637,2.975658826973525,62,7.454545454545454,3.012096823265692,82,3.5454545454545454,2.018099916438052,39,10.909090909090908,3.858874070361599,120,10
6,6,Car,60,60,577,4,205,5,100,0,100,0,0,0,1000,500,11,0.8545454545454546,0.007784989441615261,45150385162.818184,5228845548.153705,1279002367.8181818,289556201.5001677,3095232851863.636,76781964170.64697,1032082733412.0,166779883095.8889,0,0.0,0,0.0,0,0.0,80394843491.36363,10650003175.814857,0,0.0,13.373636363636363,0.09182948625280718,3.0536363636363633,0.012831778733073083,17162.272727272728,113.40995627288704,188785,0,0.0,0,0,0.0,0,0,0.0,0,343245.45454545453,2268.199125457749,3775700,0,0.0,0,27459.636363636364,181.45593003661935,302056,139.0,10.227414140436476,1529,0,0.0,0,3031.3636363636365,21.010819723526858,33345,262.09090909090907,18.81730344897773,2883,6864.909090909091,45.36398250915484,75514,6864.909090909091,45.36398250915484,75514,6864.909090909091,45.36398250915484,75514,6864.909090909091,45.36398250915484,75514,0,0.0,0,52.36363636363637,11.17383306902987,576,75.54545454545455,8.116201529824608,831,53.27272727272727,6.034747866993436,586,80.9090909090909,12.09507788693025,890,87105.0,4513.959038360893,958155,89597.54545454546,3088.0371229516145,985573,92719.18181818182,2596.1101216312763,1019911,92446.63636363637,3323.4247177490656,1016913,89930.81818181818,4085.248311135608,989239,92298.45454545454,2662.7106250449506,1015283,90954.72727272728,4020.4215970693685,1000502,91211.27272727272,3594.306138628408,1003324,91995.09090909091,3096.4213038456323,1011946,90558.09090909091,3529.0807147059013,996139,92786.0,3415.883897324381,1020646,9.636363636363637,2.838053109888089,106,7.909090909090909,2.9139164522870407,87,11.181818181818182,3.5161962919661303,123,14.090909090909092,4.437443981720681,155,11.727272727272727,3.926599268856171,129,10.727272727272727,2.412090756622109,118,16.727272727272727,3.951984541743783,184,7.636363636363637,2.656039430156385,84,10.545454545454545,2.621588692515909,116,19.636363636363637,4.566677726153386,216,19.181818181818183,4.95617154299933,211,10
7,7,ChlorineConcentration,467,3840,166,3,205,5,100,0,100,0,0,0,1000,500,11,0.7167376893939394,0.0020107502863397075,205198643345.36365,30513371222.383972,18590196183.545456,2877664343.3987355,7478936985772.728,146922906091.6105,4267490689715.636,725628667108.306,0,0.0,0,0.0,0,0.0,1367888350560.0,239606333345.55704,0,0.0,116.54872727272726,0.30829631555018633,13.755818181818182,0.15506760988795776,219821.81818181818,359.32765498408764,2418040,0,0.0,0,0,0.0,0,0,0.0,0,4396436.363636363,7186.55309968174,48360800,0,0.0,0,351714.9090909091,574.9242479745344,3868864,990.0909090909091,27.365871246699058,10891,0,0.0,0,23904.090909090908,160.26880828499011,262945,19070.18181818182,122.31501803279782,209772,87928.72727272728,143.7310619936336,967216,87928.72727272728,143.7310619936336,967216,87928.72727272728,143.7310619936336,967216,87928.72727272728,143.7310619936336,967216,0,0.0,0,4639.818181818182,45.951753354617836,51038,4752.272727272727,46.09575014920771,52275,3960.181818181818,55.03238715850553,43562,5717.909090909091,69.16712303609937,62897,2581313.4545454546,52540.083849121555,28394448,2598322.272727273,45579.00741150678,28581545,2590051.090909091,45751.49428041564,28490562,2602458.3636363638,52432.59389401357,28627042,2644433.3636363638,52190.84044978148,29088767,2598054.090909091,40947.13704632977,28578595,2577798.090909091,44931.521778044764,28355779,2607472.5454545454,53846.16831003608,28682198,2584543.727272727,91812.29343512871,28429981,2602593.727272727,44028.64010184937,28628531,2584793.4545454546,54431.331272280426,28432728,79.63636363636364,8.405625821706876,876,83.54545454545455,6.154082163306505,919,89.0909090909091,8.40778859694445,980,98.81818181818181,10.740746545917391,1087,108.54545454545455,11.64786363556542,1194,82.54545454545455,7.4614159026774045,908,94.72727272727273,11.739598878078493,1042,113.27272727272727,9.603029824913687,1246,79.0909090909091,11.379407238116979,870,80.0,7.28010988928052,880,80.81818181818181,6.161463816629647,889,10
8,8,CinCECGtorso,40,1380,1639,4,205,5,100,0,100,0,0,0,1000,500,11,0.9832015810276679,0.004880618298284995,225606242365.36365,24443838647.933716,472825589838.4545,94083001447.57358,6810784432818.182,257830655327.80597,5849390615636.818,825529901850.5984,0,0.0,0,0.0,0,0.0,96178144753.45454,14810022839.036802,0,0.0,10.934,0.07428593406560947,2.966363636363637,0.024262204051869303,14283.181818181818,140.61068108918204,157115,0,0.0,0,0,0.0,0,0,0.0,0,285663.63636363635,2812.213621783643,3142300,0,0.0,0,22853.090909090908,224.9770897426917,251384,430.3636363636364,28.482530531091264,4734,0,0.0,0,1932.6363636363637,24.85668009720019,21259,493.6363636363636,23.3164007825939,5430,5713.272727272727,56.244272435672926,62846,5713.272727272727,56.244272435672926,62846,5713.272727272727,56.244272435672926,62846,5713.272727272727,56.244272435672926,62846,0,0.0,0,103.9090909090909,11.157549421396668,1143,78.45454545454545,6.919012015651316,863,54.63636363636363,8.417514208752216,601,256.6363636363636,18.359045330695867,2823,105468.36363636363,19804.011387962426,1160152,61141.27272727273,3022.7529866302034,672554,229631.72727272726,31078.374610300678,2525949,97500.18181818182,21020.99113181004,1072502,490605.2727272727,56869.061140642916,5396658,110761.54545454546,16695.401105475943,1218377,173361.54545454544,23761.12795876339,1906977,123243.63636363637,16182.994594775884,1355680,89945.09090909091,12699.70380327467,989396,265456.0,21915.934718829587,2920016,155711.72727272726,17983.20523205422,1712829,21.454545454545453,8.33503013028311,236,5.2727272727272725,2.6491851234260357,58,49.81818181818182,7.400245696166875,548,19.09090909090909,5.838742081211423,210,124.81818181818181,13.673464680308218,1373,24.0,4.753945729601885,264,39.09090909090909,7.1477905041284675,430,28.90909090909091,3.4483197489370228,318,21.727272727272727,7.21236312301189,239,59.81818181818182,6.6154090095500795,658,36.36363636363637,4.69622672520668,400,10
9,9,Coffee,28,28,286,2,205,5,100,0,100,0,0,0,1000,500,11,1.0,0.0,3344192996.4545455,291880022.38539606,113230757.63636364,10222571.123751482,718932029000.0,12818386563.460243,38733640854.454544,6587152978.155673,0,0.0,0,0.0,0,0.0,8532215528.545455,1299707102.1292288,0,0.0,2.0001818181818183,0.0006030226891554547,1.000181818181818,0.0006030226891555247,2500.4545454545455,1.5075567228888131,27505,0,0.0,0,0,0.0,0,0,0.0,0,50009.09090909091,30.151134457775893,550100,0,0.0,0,4000.7272727272725,2.4120907566220606,44008,19.818181818181817,4.622081388685877,218,0,0.0,0,450.6363636363636,4.631905164675272,4957,29.636363636363637,4.455843966584272,326,1000.1818181818181,0.6030226891555152,11002,1000.1818181818181,0.6030226891555152,11002,1000.1818181818181,0.6030226891555152,11002,1000.1818181818181,0.6030226891555152,11002,0,0.0,0,16.636363636363637,4.249064068067867,183,2.4545454545454546,2.1616492020508953,27,0.0,0.0,0,10.545454545454545,2.339386088854782,116,12360.181818181818,879.8365550693856,135962,12001.90909090909,702.0003496502625,132021,12267.727272727272,858.8727601815174,134945,12140.363636363636,584.6739728647535,133544,12453.181818181818,650.2319306496439,136985,12602.90909090909,768.4672347661223,138632,11932.363636363636,884.7433834425973,131256,12306.454545454546,691.4641514404581,135371,12093.272727272728,834.6084220649934,133026,12541.09090909091,1197.3127790636377,137952,11968.181818181818,640.2272749862844,131650,2.909090909090909,1.3751033019046572,32,1.5454545454545454,1.1281521496355325,17,1.8181818181818181,1.1677484162422844,20,1.9090909090909092,1.2210278829367864,21,1.0,1.0,11,1.9090909090909092,1.0444659357341872,21,2.4545454545454546,2.2522715805886446,27,0.2727272727272727,0.4670993664969138,3,2.272727272727273,1.2720777563426766,25,3.0,1.5491933384829668,33,0.7272727272727273,1.1037127426019047,8,10
