,dataset,train_time,test_time,train_hr,test_hr,train_sum,test_sum,total_hr,total_sum
73,TwoLeadECG,0.7988745932727273,0.7546035959090909,0.00022190960924242423,0.00020961210997474746,0.00022190960924242423,0.00020961210997474746,0.0004315217192171717,0.0004315217192171717
63,SonyAIBORobotSurface1,1.000525215909091,0.5620606873636363,0.0002779236710858586,0.0001561279687121212,0.0004998332803282828,0.0003657400786868687,0.00043405163979797975,0.0008655733590151515
64,SonyAIBORobotSurface2,0.9682161237272726,0.7848170043636363,0.0002689489232575757,0.00021800472343434343,0.0007687822035858585,0.0005837448021212121,0.00048695364669191913,0.0013525270057070707
47,MoteStrain,0.799036185,1.0249370476363637,0.00022195449583333333,0.0002847047354545455,0.000990736699419192,0.0008684495375757577,0.0005066592312878787,0.0018591862369949494
20,ECGFiveDays,1.337654021,0.6025808668181819,0.00037157056138888893,0.00016738357411616163,0.001362307260808081,0.0010358331116919193,0.0005389541355050506,0.0023981403725
9,Coffee,3.344192996454545,0.11323075763636364,0.0009289424990151515,3.1452988232323234e-05,0.0022912497598232325,0.0010672860999242425,0.0009603954872474746,0.0033585358597474748
30,GunPoint,3.5071685076363637,0.3183794288181818,0.0009742134743434344,8.843873022727273e-05,0.0032654632341666667,0.0011557248301515151,0.001062652204570707,0.004421188064318182
5,CBF,2.052474963727273,1.8006412657272728,0.0005701319343686869,0.0005001781293686869,0.0038355951685353534,0.001655902959520202,0.0010703100637373738,0.005491498128055556
37,ItalyPowerDemand,3.8839082611666664,0.5601286443333334,0.0010788634058796296,0.00015559129009259262,0.004914458574414983,0.0018114942496127945,0.0012344546959722222,0.006725952824027778
24,FaceFour,6.146563667,0.20710725154545453,0.0017073787963888887,5.7529792095959594e-05,0.006621837370803871,0.001869024041708754,0.0017649085884848485,0.008490861412512627
18,ECG200,6.849054479272727,0.20359081945454546,0.001902515133131313,5.655300540404041e-05,0.008524352503935184,0.0019255770471127945,0.0019590681385353533,0.01044992955104798
1,ArrowHead,6.262049533,0.8632467939090909,0.001739458203611111,0.00023979077608585856,0.010263810707546296,0.002165367823198653,0.0019792489796969697,0.01242917853074495
4,BirdChicken,7.082329255545455,0.2012331731818182,0.0019673136820959596,5.589810366161616e-05,0.012231124389642255,0.002221265926860269,0.0020232117857575758,0.014452390316502526
3,BeetleFly,7.511107345363636,0.1830693852727273,0.0020864187070454543,5.085260702020202e-05,0.01431754309668771,0.002272118533880471,0.0021372713140656563,0.016589661630568183
14,DiatomSizeReduction,3.2931906292727273,4.576112629818182,0.0009147751747979799,0.0012711423971717172,0.01523231827148569,0.0035432609310521884,0.0021859175719696968,0.01877557920253788
71,ToeSegmentation2,8.435031466727272,0.8097847403636363,0.0023430642963131313,0.00022494020565656564,0.017575382567798822,0.0037682011367087542,0.0025680045019696967,0.021343583704507577
80,Wine,9.338080381181818,0.23633282881818185,0.0025939112169949493,6.564800800505051e-05,0.020169293784793773,0.0038338491447138046,0.0026595592249999997,0.024003142929507577
70,ToeSegmentation1,8.744407203272727,0.9716823990909091,0.002429002000909091,0.0002699117775252525,0.022598295785702865,0.004103760922239057,0.0026989137784343433,0.02670205670794192
54,Plane,10.41547832909091,0.5338609618181818,0.0028931884247474747,0.0001482947116161616,0.02549148421045034,0.004252055633855219,0.0030414831363636363,0.029743539844305555
60,ShapeletSim,11.303246884181817,1.7728400057272728,0.0031397908011616157,0.0004924555571464646,0.028631275011611956,0.004744511191001684,0.0036322463583080807,0.03337578620261364
69,SyntheticControl,12.539607904545454,1.2924902696363636,0.0034832244179292928,0.0003590250748989899,0.03211449942954125,0.0051035362659006735,0.003842249492828283,0.03721803569544192
51,OliveOil,16.25805188609091,0.7161672947272727,0.004516125523914142,0.00019893535964646465,0.03663062495345539,0.005302471625547138,0.004715060883560607,0.04193309657900253
2,Beef,17.72483973281818,0.70885487,0.004923566592449494,0.00019690413055555557,0.04155419154590489,0.005499375756102693,0.005120470723005049,0.047053567302007576
42,Meat,18.10400763781818,0.7953363490909091,0.0050288910105050506,0.00022092676363636365,0.04658308255640994,0.005720302519739057,0.0052498177741414145,0.05230338507614899
72,Trace,19.22138060618182,1.5276314284545456,0.005339272390606061,0.000424342063459596,0.051922354947016,0.006144644583198654,0.005763614454065657,0.058066999530214644
68,Symbols,8.027965875909091,19.350825058909088,0.0022299905210858588,0.005375229183030302,0.05415234546810185,0.011519873766228955,0.00760521970411616,0.06567221923433081
17,DistalPhalanxTW,27.51995937181818,0.6640785020909091,0.007644433158838383,0.0001844662505808081,0.06179677862694024,0.011704340016809762,0.007828899409419192,0.07350111864375
44,MiddlePhalanxOutlineAgeGroup,30.095597746636365,0.4829989173636363,0.008359888262954546,0.00013416636593434342,0.07015666688989479,0.011838506382744106,0.00849405462888889,0.08199517327263889
