index,dataset,code,trainsize,testsize,dimensions,length,classes
0,Adiac,AD,390,391,1,176,37
1,ArrowHead,ARH,36,175,1,251,3
2,Beef,BEF,30,30,1,470,5
3,BeetleFly,BF,20,20,1,512,2
4,BirdChicken,BC,20,20,1,512,2
5,Car,CAR,60,60,1,577,4
6,CBF,CBF,30,900,1,128,3
7,ChlorineConcentration,CHC,467,3840,1,166,3
8,CinCECGtorso,CCG,40,1380,1,1639,4
9,Coffee,COF,28,28,1,286,2
10,Computers,COM,250,250,1,720,2
11,CricketX,CRX,390,390,1,300,12
12,CricketY,CRY,390,390,1,300,12
13,CricketZ,CRZ,390,390,1,300,12
14,DiatomSizeReduction,DSR,16,306,1,345,4
15,DistalPhalanxOutlineAgeGroup,DAG,400,139,1,80,3
16,DistalPhalanxOutlineCorrect,DOC,600,276,1,80,2
17,DistalPhalanxTW,DTW,400,139,1,80,6
18,Earthquakes,EQ,322,139,1,512,2
19,ECG200,EC2,100,100,1,96,2
20,ECG5000,EC5,500,4500,1,140,5
21,ECGFiveDays,ECF,23,861,1,136,2
22,ElectricDevices,ED,8926,7711,1,96,7
23,FaceAll,FA,560,1690,1,131,14
24,FaceFour,FF,24,88,1,350,4
25,FacesUCR,FU,200,2050,1,131,14
26,FiftyWords,FW,450,455,1,270,50
27,Fish,FI,175,175,1,463,7
28,FordA,FOA,3601,1320,1,500,2
29,FordB,FOB,3636,810,1,500,2
30,GunPoint,GP,50,150,1,150,2
31,Ham,HAM,109,105,1,431,2
32,HandOutlines,HO,1000,370,1,2709,2
33,Haptics,HAP,155,308,1,1092,5
34,Herring,HER,64,64,1,512,2
35,InlineSkate,IS,100,550,1,1882,7
36,InsectWingbeatSound,IWS,220,1980,1,256,11
37,ItalyPowerDemand,IPD,67,1029,1,24,2
38,LargeKitchenAppliances,LKA,375,375,1,720,3
39,Lightning2,L2,60,61,1,637,2
40,Lightning7,L7,70,73,1,319,7
41,Mallat,MAL,55,2345,1,1024,8
42,Meat,MT,60,60,1,448,3
43,MedicalImages,MI,381,760,1,99,10
44,MiddlePhalanxOutlineAgeGroup,MOA,400,154,1,80,3
45,MiddlePhalanxOutlineCorrect,MOC,600,291,1,80,2
46,MiddlePhalanxTW,MTW,399,154,1,80,6
47,MoteStrain,MS,20,1252,1,84,2
48,NonInvasiveFetalECGThorax1,NF1,1800,1965,1,750,42
49,NonInvasiveFetalECGThorax2,NF2,1800,1965,1,750,42
50,OliveOil,OO,30,30,1,570,4
51,OSULeaf,OL,200,242,1,427,6
52,PhalangesOutlinesCorrect,PC,1800,858,1,80,2
53,Phoneme,PHO,214,1896,1,1024,39
54,Plane,PLN,105,105,1,144,7
55,ProximalPhalanxOutlineAgeGroup,PAG,400,205,1,80,3
56,ProximalPhalanxOutlineCorrect,POC,600,291,1,80,2
57,ProximalPhalanxTW,PTW,400,205,1,80,6
58,RefrigerationDevices,RD,375,375,1,720,3
59,ScreenType,ST,375,375,1,720,3
60,ShapeletSim,SS,20,180,1,500,2
61,ShapesAll,SA,600,600,1,512,60
62,SmallKitchenAppliances,SKA,375,375,1,720,3
63,SonyAIBORobotSurface1,SR1,20,601,1,70,2
64,SonyAIBORobotSurface2,SR2,27,953,1,65,2
65,StarlightCurves,STC,1000,8236,1,1024,3
66,Strawberry,STB,613,370,1,235,2
67,SwedishLeaf,SL,500,625,1,128,15
68,Symbols,SYM,25,995,1,398,6
69,SyntheticControl,SYC,300,300,1,60,6
70,ToeSegmentation1,TS1,40,228,1,277,2
71,ToeSegmentation2,TS2,36,130,1,343,2
72,Trace,TRA,100,100,1,275,4
73,TwoLeadECG,TLE,23,1139,1,82,2
74,TwoPatterns,TP,1000,4000,1,128,4
75,UWaveGestureLibraryAll,UGA,896,3582,1,945,8
76,UWaveGestureLibraryX,UGX,896,3582,1,315,8
77,UWaveGestureLibraryY,UGY,896,3582,1,315,8
78,UWaveGestureLibraryZ,UGZ,896,3582,1,315,8
79,Wafer,WAF,1000,6164,1,152,2
80,Wine,WIN,57,54,1,234,2
81,WordSynonyms,WS,267,638,1,270,25
82,Worms,WO,181,77,1,900,5
83,WormsTwoClass,WTC,181,77,1,900,2
84,Yoga,YO,300,3000,1,426,2
