dataset,arff_name
Adiac,Adiac
ArrowHead,ArrowHead
Beef,Beef
BeetleFly,BeetleFly
BirdChicken,BirdChicken
Car,Car
CBF,CBF
ChlorineConcentration,ChlorineConcentration
CinCECGtorso,CinC_ECG_torso
Coffee,Coffee
Computers,Computers
CricketX,Cricket_X
CricketY,Cricket_Y
CricketZ,Cricket_Z
DiatomSizeReduction,DiatomSizeReduction
DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup
DistalPhalanxOutlineCorrect,DistalPhalanxOutlineCorrect
DistalPhalanxTW,DistalPhalanxTW
Earthquakes,Earthquakes
ECG200,ECG200
ECG5000,ECG5000
ECGFiveDays,ECGFiveDays
ElectricDevices,ElectricDevices
FaceAll,FaceAll
FaceFour,FaceFour
FacesUCR,FacesUCR
FiftyWords,50words
Fish,FISH
FordA,FordA
FordB,FordB
GunPoint,Gun_Point
Ham,Ham
HandOutlines,HandOutlines
Haptics,Haptics
Herring,Herring
InlineSkate,InlineSkate
InsectWingbeatSound,InsectWingbeatSound
ItalyPowerDemand,ItalyPowerDemand
LargeKitchenAppliances,LargeKitchenAppliances
Lightning2,Lighting2
Lightning7,Lighting7
Mallat,MALLAT
Meat,Meat
MedicalImages,MedicalImages
MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup
MiddlePhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect
MiddlePhalanxTW,MiddlePhalanxTW
MoteStrain,MoteStrain
NonInvasiveFetalECGThorax1,NonInvasiveFatalECG_Thorax1
NonInvasiveFetalECGThorax2,NonInvasiveFatalECG_Thorax2
OliveOil,OliveOil
OSULeaf,OSULeaf
PhalangesOutlinesCorrect,PhalangesOutlinesCorrect
Phoneme,Phoneme
Plane,Plane
ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup
ProximalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect
ProximalPhalanxTW,ProximalPhalanxTW
RefrigerationDevices,RefrigerationDevices
ScreenType,ScreenType
ShapeletSim,ShapeletSim
ShapesAll,ShapesAll
SmallKitchenAppliances,SmallKitchenAppliances
SonyAIBORobotSurface1,SonyAIBORobotSurface
SonyAIBORobotSurface2,SonyAIBORobotSurfaceII
StarlightCurves,StarLightCurves
Strawberry,Strawberry
SwedishLeaf,SwedishLeaf
Symbols,Symbols
SyntheticControl,synthetic_control
ToeSegmentation1,ToeSegmentation1
ToeSegmentation2,ToeSegmentation2
Trace,Trace
TwoLeadECG,TwoLeadECG
TwoPatterns,Two_Patterns
UWaveGestureLibraryAll,UWaveGestureLibraryAll
UWaveGestureLibraryX,uWaveGestureLibrary_X
UWaveGestureLibraryY,uWaveGestureLibrary_Y
UWaveGestureLibraryZ,uWaveGestureLibrary_Z
Wafer,wafer
Wine,Wine
WordSynonyms,WordsSynonyms
Worms,Worms
WormsTwoClass,WormsTwoClass
Yoga,yoga
