index,dataset,code,trainsize,testsize,dimensions,length,classes
0,ACSF1,ACS,100,100,1,1460,10
1,Adiac,AD,390,391,1,176,37
5,ArrowHead,ARH,36,175,1,251,3
6,Beef,BEF,30,30,1,470,5
7,BeetleFly,BF,20,20,1,512,2
8,BirdChicken,BC,20,20,1,512,2
9,BME,BME,30,150,1,128,3
10,Car,CAR,60,60,1,577,4
11,CBF,CBF,30,900,1,128,3
12,Chinatown,CT,20,343,1,24,2
13,ChlorineConcentration,CHC,467,3840,1,166,3
14,CinCECGTorso,CCG,40,1380,1,1639,4
15,Coffee,COF,28,28,1,286,2
16,Computers,COM,250,250,1,720,2
17,CricketX,CRX,390,390,1,300,12
18,CricketY,CRY,390,390,1,300,12
19,CricketZ,CRZ,390,390,1,300,12
20,Crop,CRP,7200,16800,1,46,24
21,DiatomSizeReduction,DSR,16,306,1,345,4
22,DistalPhalanxOutlineAgeGroup,DAG,400,139,1,80,3
23,DistalPhalanxOutlineCorrect,DOC,600,276,1,80,2
24,DistalPhalanxTW,DTW,400,139,1,80,6
28,Earthquakes,EQ,322,139,1,512,2
29,ECG200,EC2,100,100,1,96,2
30,ECG5000,EC5,500,4500,1,140,5
31,ECGFiveDays,ECF,23,861,1,136,2
32,ElectricDevices,ED,8926,7711,1,96,7
33,EOGHorizontalSignal,EHS,362,362,1,1250,12
34,EOGVerticalSignal,EVS,362,362,1,1250,12
35,EthanolLevel,EL,504,500,1,1751,4
36,FaceAll,FA,560,1690,1,131,14
37,FaceFour,FF,24,88,1,350,4
38,FacesUCR,FU,200,2050,1,131,14
39,FiftyWords,FW,450,455,1,270,50
40,Fish,FI,175,175,1,463,7
41,FordA,FOA,3601,1320,1,500,2
42,FordB,FOB,3636,810,1,500,2
43,FreezerRegularTrain,FRT,150,2850,1,301,2
44,FreezerSmallTrain,FST,28,2850,1,301,2
45,Fungi,FUN,18,186,1,201,18
51,GunPoint,GP,50,150,1,150,2
52,GunPointAgeSpan,GPA,135,316,1,150,2
53,GunPointMaleVersusFemale,GPM,135,316,1,150,2
